AÑO,UBICACIÓN,SECTOR,TAMAÑO,CANTIDAD
2023,Comunitat Valenciana,B. Industrias extractivas,1 a 9 asalariados,70
2023,Comunitat Valenciana,B. Industrias extractivas,10 a 49 asalariados,39
2023,Comunitat Valenciana,B. Industrias extractivas,50 o más asalariados ,-
2023,Comunitat Valenciana,B. Industrias extractivas,Sin asalariados ,35
2023,Comunitat Valenciana,B. Industrias extractivas,Total,148
2023,Comunitat Valenciana,C. Industria manufacturera,1 a 9 asalariados,10438
2023,Comunitat Valenciana,C. Industria manufacturera,10 a 49 asalariados,3520
2023,Comunitat Valenciana,C. Industria manufacturera,50 o más asalariados ,746
2023,Comunitat Valenciana,C. Industria manufacturera,Sin asalariados ,4850
2023,Comunitat Valenciana,C. Industria manufacturera,Total,19554
2023,Comunitat Valenciana,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",1 a 9 asalariados,327
2023,Comunitat Valenciana,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",10 a 49 asalariados,28
2023,Comunitat Valenciana,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",50 o más asalariados ,-
2023,Comunitat Valenciana,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",Sin asalariados ,914
2023,Comunitat Valenciana,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",Total,1272
2023,Comunitat Valenciana,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",1 a 9 asalariados,785
2023,Comunitat Valenciana,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",10 a 49 asalariados,123
2023,Comunitat Valenciana,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",50 o más asalariados ,35
2023,Comunitat Valenciana,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Sin asalariados ,231
2023,Comunitat Valenciana,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Total,1174
2023,Comunitat Valenciana,F. Construcción,1 a 9 asalariados,17740
2023,Comunitat Valenciana,F. Construcción,10 a 49 asalariados,2073
2023,Comunitat Valenciana,F. Construcción,50 o más asalariados ,129
2023,Comunitat Valenciana,F. Construcción,Sin asalariados ,21301
2023,Comunitat Valenciana,F. Construcción,Total,41243
2023,Comunitat Valenciana,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas ,1 a 9 asalariados,38243
2023,Comunitat Valenciana,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas ,10 a 49 asalariados,2246
2023,Comunitat Valenciana,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas ,50 o más asalariados ,489
2023,Comunitat Valenciana,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas ,Sin asalariados ,33786
2023,Comunitat Valenciana,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas ,Total,74764
